@relation relation name
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute f10 real
@attribute class real
@data
0.6456284101421638,0.09220320171787728,0.3575598674407432,0.8376077538310295,0.7892285293415284,0.48016229225750795,0.05459788854350078,0.49367191640454156,0.677570660799339,0.5003540074909065,0.09447713063836843,1.0
0.6488207923629977,0.0946935033287319,0.3584103022028974,0.840509949825999,0.7885009933006769,0.4799376720528374,0.05190512937562043,0.49581534331911026,0.676906830551215,0.4963545335478396,0.09621909779436952,1.0
0.6449247129859585,0.09113469860456941,0.35548806360528246,0.8369018142646855,0.7899817431249984,0.48021220785854585,0.057923758595453914,0.49959573340472074,0.6784441216521337,0.49880466172917787,0.09413540502403331,1.0
0.6454911033799774,0.09097959331392795,0.3584464909161806,0.8370586897238731,0.7908719048690991,0.4794551545761375,0.05523915106985776,0.4959510032504121,0.679745578322798,0.49468808607156173,0.09364365353023396,1.0
0.7502218362376573,0.6869372047613878,0.21361021317866277,0.7608956542883214,0.09291662351379365,0.06949832325176847,0.07279597707395895,0.7487306752427862,0.04705945036602377,0.8124120611162855,0.7722190411179262,0.0
0.6486834856008112,0.0932027691464556,0.361477295653645,0.8402310601207768,0.7877991350024437,0.47955498577821337,0.052877892021534825,0.4938980162900447,0.679902801276301,0.4969670655931741,0.09200170362720902,1.0
0.747896202953125,0.6882814506136138,0.21360116600034196,0.76003283926279,0.09170121036319454,0.06980613612483559,0.07441724815048294,0.7508921901481951,0.04724899137108024,0.8124751158856582,0.7728358141779457,0.0
0.7484196849839606,0.6869458217219789,0.21381829828004092,0.7614447183954778,0.09305357147442453,0.06887437823879457,0.07506937953321885,0.7501596265191653,0.04762108569437082,0.810592480628674,0.7726107753587493,0.0
0.6480226968077892,0.09195330986073269,0.3601292660838474,0.8377297680770642,0.7897506434414338,0.48045346659689575,0.05470204841713222,0.496168059140495,0.6798853320592451,0.4942827339827373,0.0922600815307307,1.0
0.7469865456536401,0.6866269941801049,0.21331165629407672,0.7606429104929637,0.09149578842224822,0.06921546817922031,0.07530487142142904,0.74750973586107,0.04782722245563038,0.8130516166342083,0.7731608702501181,0.0
0.7495610474446351,0.6868855029978406,0.21266930663330066,0.7606341951896756,0.09176112509597054,0.06890765530615317,0.07514183857574505,0.7488120712015673,0.045972865065147084,0.8124390845888738,0.7714939160338492,0.0
0.7467720038377238,0.6871526287761676,0.2124612215319225,0.7600851310825191,0.09209493575000832,0.06924874524657891,0.07540450260490257,0.751190641997059,0.04607593344577686,0.812646264545384,0.7711771947327581,0.0
0.6443840676098496,0.09371116982133595,0.35710750852470374,0.8390370635702937,0.7941244189340826,0.4784734810890586,0.05249748204827222,0.49686444678784425,0.6829686488696106,0.4958050562718777,0.09728594849278169,1.0
0.6448989679680486,0.09577062340263093,0.355334261573829,0.8344092375242612,0.7884581970629797,0.4800874188559511,0.05311610112383976,0.4924600210182454,0.676898095942687,0.49874160695980524,0.09170998663936195,1.0
0.6496360512634795,0.09212564907255655,0.3581841227448777,0.8389411952341236,0.7919674885541461,0.4799875876538752,0.05313240440840815,0.49278560485336975,0.6755267624037993,0.4942647183343451,0.09529393820434026,1.0
